Gene ID	Gene Name	g1_g2.p-value	g1_g2.log2foldchange
ENSGALG00000044668		3.15612148899442e-39	2.2
ENSGALG00000035360	XPO6	3.79577258971097e-39	0.8
ENSGALG00000039595	BTBD11	1.51652221832846e-38	1.5
ENSGALG00000014496	PROM1	2.1899358740635e-38	-1.9
ENSGALG00000006982	EEF2K	2.39844705186143e-38	1.2
ENSGALG00000010874	UNC79	4.07827734641297e-38	-2.2
ENSGALG00000017362	HAVCR1	4.31293464069193e-38	2
ENSGALG00000014122	CYB5R1	5.65160498967076e-38	-0.8
ENSGALG00000036086	TAGLN2	5.8484821831904e-38	1.4
ENSGALG00000036380		7.43840061722827e-38	1.5
ENSGALG00000034188	PAG1	8.14698489056193e-38	2.7
ENSGALG00000010881	ASB2	8.25601933680632e-38	1.5
ENSGALG00000047636		1.92907353495515e-37	1.6
ENSGALG00000010312	PLCH1	2.53877674114602e-37	-1.7
ENSGALG00000027905	CSRNP1	3.80640257637406e-37	1.7
ENSGALG00000006374	TBX6	4.04203357956109e-37	1.2
ENSGALG00000053057		4.63780985532661e-37	-3.5
ENSGALG00000035447		5.26452567744238e-37	1.3
ENSGALG00000043938		5.33735485847424e-37	-1.1
ENSGALG00000011488	CMTM7	1.1850351009374e-36	0.9
ENSGALG00000012965	FAM105A	1.94304550385521e-36	1
ENSGALG00000031934	TES	1.95817782320074e-36	1.6
ENSGALG00000010158	KANK1	2.01980477585941e-36	2.2
ENSGALG00000006599	ZMYND11	3.18434807341753e-36	-1.1
ENSGALG00000029834	AIF1L	7.76152676954634e-36	-2
ENSGALG00000031495	TRIO	8.34243941470629e-36	-1.2
ENSGALG00000043355		9.42735192562857e-36	-1.2
ENSGALG00000037249	KCNQ5	2.4584544984625e-35	-1.7
ENSGALG00000019003	PRAG1	3.35824107218056e-35	2.5
ENSGALG00000004336	INPPL1	8.07675167736863e-35	1.5
ENSGALG00000049068	ZNF831	1.32259626656317e-34	1.1
ENSGALG00000027198	TMEM47	2.3597242682712e-34	2.8
ENSGALG00000006889	TMC7	2.47263545436184e-34	1.2
ENSGALG00000040926	SAMSN1	5.00213152027216e-34	1.3
ENSGALG00000038515	LFNG	6.84745566249049e-34	1.2
ENSGALG00000012345	UST	8.13826852519619e-34	1.3
ENSGALG00000014096	ARNTL2	1.0436900988538e-33	-1.3
ENSGALG00000049467		1.1238692215744e-33	1
ENSGALG00000042148	FKBP5	1.16114305882531e-33	0.9
ENSGALG00000016661	BLK	1.44512113369681e-33	-1.4
ENSGALG00000037872	ATAD2B	3.87340125600717e-33	-0.9
ENSGALG00000005930	PLS3	6.03343167838705e-33	1.8
ENSGALG00000008542	ADD3	6.03343167838705e-33	-0.8
ENSGALG00000005850	FNBP1L	6.38758826924131e-33	1.2
ENSGALG00000015115	MAMDC2	9.11670325313776e-33	3.1
ENSGALG00000012830	IRF4	3.07579374521347e-32	0.9
ENSGALG00000050427	OSBPL10	7.28395369004812e-32	1.6
ENSGALG00000031331	PKIG	8.85870836770781e-32	1.1
ENSGALG00000008759	LAMP3	1.01131384346268e-31	1.1
ENSGALG00000002682	BRD3	1.20597801202483e-31	-1.1
ENSGALG00000027961	PCASP2	1.69866188570141e-31	1.7
ENSGALG00000007758	OSBP2	2.22132547248872e-31	-1.1
ENSGALG00000039473	NOP53	2.80321893766024e-31	-0.8
ENSGALG00000034950	SMPD3	2.85093344758736e-31	1.2
ENSGALG00000035845	JPH1	4.67626666634349e-31	1.8
ENSGALG00000009428	SUSD6	5.40053168308009e-31	0.9
ENSGALG00000007409	SCN4B	6.62549530927084e-31	1.7
ENSGALG00000036359		8.95265606236516e-31	-0.7
ENSGALG00000005042	IQSEC1	9.15037170121627e-31	-1.7
ENSGALG00000052488	TMEM186	9.28398227907476e-31	1.1
ENSGALG00000016736	CYFIP1	1.38313401266384e-30	-2.1
ENSGALG00000007418	CD3D	2.2352702733737e-30	1.5
ENSGALG00000005551	DKK3	5.19232119474669e-30	-1.1
ENSGALG00000009368	RGS6	6.15202544871974e-30	1.9
ENSGALG00000037778	NAB1	6.76957876358691e-30	-1.4
ENSGALG00000035317	ID3	6.84555438556063e-30	-2
ENSGALG00000040908	HIP1	6.96092117954323e-30	-1.1
ENSGALG00000004594	CD74	8.20421647539972e-30	1
ENSGALG00000026081	RBM38	1.08419808000066e-29	-0.7
ENSGALG00000003574	LPCAT2	1.25568051199851e-29	0.9
ENSGALG00000015605	BACH2	2.67529841485268e-29	-2.1
ENSGALG00000045581		3.12593472351979e-29	1.9
ENSGALG00000009698	SLC38A1	3.30520353145051e-29	-0.9
ENSGALG00000004310	TTYH3	4.3037214475948e-29	1.6
ENSGALG00000014126		6.80737666391873e-29	-2.1
ENSGALG00000013427	SORBS2	7.06404550877249e-29	3.2
ENSGALG00000001331	ST14	9.00581148713311e-29	1.5
ENSGALG00000016986	LCP1	1.0851744001275e-28	0.9
ENSGALG00000037983	LUC7L	1.13168571235807e-28	0.9
ENSGALG00000012747	NEDD9	1.59429503630762e-28	0.9
ENSGALG00000005757	IRF8	2.65555779652346e-28	0.7
ENSGALG00000038598		3.45255811855167e-28	-0.9
ENSGALG00000007025	CPNE8	5.96291710613112e-28	2.8
ENSGALG00000034171	EPB41L1	7.66790628862958e-28	-2.6
ENSGALG00000043583	SCG3	8.51479049211885e-28	1.1
ENSGALG00000032260	IL10RA	9.82806248862664e-28	1.5
ENSGALG00000008840	ACSL5	1.77784538680164e-27	2.8
ENSGALG00000014846	OXCT1	1.83261951150506e-27	-0.7
ENSGALG00000011035	AK4	1.84533296973078e-27	-0.8
ENSGALG00000009901	DYRK2	1.94802057056825e-27	-2.3
ENSGALG00000010811	LGMN	2.21652306366465e-27	0.7
ENSGALG00000004714	CPSF4	2.62476566283676e-27	0.8
ENSGALG00000009332		3.60136807223771e-27	0.6
ENSGALG00000052089		4.15542370487432e-27	-1.4
ENSGALG00000007905	LAMB1	4.66605092488288e-27	-1.8
ENSGALG00000035561	CPNE3	4.98130758527674e-27	-0.8
ENSGALG00000004630		5.48923153844679e-27	-1.3
ENSGALG00000001143	ETS1	5.56315351827243e-27	0.8
ENSGALG00000053581		8.25645965543185e-27	2.4
ENSGALG00000032588	ARPC1B	8.58381940018073e-27	1.3
ENSGALG00000014878	MAN1A1	8.63079570097331e-27	1.8
ENSGALG00000010224	GLIPR1L	1.17605983056629e-26	1.5
ENSGALG00000013235	PDK1	1.28886998910456e-26	-0.8
ENSGALG00000026167	PIK3R5	2.17006697018189e-26	1.1
ENSGALG00000054005	PPP1R37	2.40871227931263e-26	-1.1
ENSGALG00000000775	CTSS	2.78484030719042e-26	1
ENSGALG00000025937	FXYD6	2.83118959227678e-26	1.1
ENSGALG00000043806	DNAH10	2.83168317463676e-26	-1.6
ENSGALG00000012338	BDH2	1.05784241103814e-25	-1.7
ENSGALG00000008696	WDR63	1.0813053442782e-25	1.6
ENSGALG00000041635	CAMK2D	1.9812774628474e-25	0.9
ENSGALG00000002473	GPR157	2.39178599072232e-25	1.2
ENSGALG00000016852	TNFSF13B	3.05875799505187e-25	0.9
ENSGALG00000007963	NFATC2	3.17892249191845e-25	1
ENSGALG00000009249	UBR1	3.3234399976883e-25	0.8
ENSGALG00000008150	RASAL1	5.13471080455317e-25	1.4
ENSGALG00000029450	UBE2Q1	5.83112309470396e-25	0.6
ENSGALG00000021442	CARMIL2	9.51571793255592e-25	1.1
ENSGALG00000008850	TTLL7	9.76473174841786e-25	-1.9
ENSGALG00000015290	LIX1	1.13125142997903e-24	3
ENSGALG00000050420		1.31175001277737e-24	1.3
ENSGALG00000006507	CLMP	1.36964186239542e-24	1.8
ENSGALG00000007675	CXCR5	2.01907069564198e-24	0.7
ENSGALG00000029514	MAPK8IP3	2.18197331348278e-24	0.9
ENSGALG00000007596		2.95507709620223e-24	2
ENSGALG00000004400		3.15523159392626e-24	1.2
ENSGALG00000039160	SUPT5H	3.24742719834365e-24	-0.8
ENSGALG00000038141	NCF4	4.1838566554043e-24	1.1
ENSGALG00000007291	C16orf72	5.98126380221568e-24	0.7
ENSGALG00000007652	SUCLG2	7.45177248345399e-24	-0.8
ENSGALG00000036101	ARHGAP35	7.63186617610217e-24	-1.2
ENSGALG00000007314	DSCAML1	9.24707287735608e-24	1.5
ENSGALG00000049545		1.26234019230347e-23	-1.1
ENSGALG00000041422		1.30595185849015e-23	-0.9
ENSGALG00000016431	PAX5	1.37650619266684e-23	-0.7
ENSGALG00000040709		1.46034631555571e-23	-2
ENSGALG00000036017	NCOA2	1.6525220382024e-23	-0.7
ENSGALG00000028230	SUN2	2.09614258964426e-23	1.1
ENSGALG00000007130	RAC1	3.80357587693953e-23	0.7
ENSGALG00000033234	JAK3	4.18367436296512e-23	2.2
ENSGALG00000009288	RNPS1	5.20767699544225e-23	0.8
ENSGALG00000037558	MEF2B	5.67777884748419e-23	-1
ENSGALG00000012454	CYTH4	6.21587103093318e-23	1
ENSGALG00000032223		8.35114384460269e-23	-1.2
ENSGALG00000016261	CYBB	8.47996493955935e-23	1.6
ENSGALG00000041630		1.69318611354569e-22	1.6
ENSGALG00000007216	TVP23A	2.15237646251764e-22	1.1
ENSGALG00000026995	RHOG	2.23531075952163e-22	1.2
ENSGALG00000036093	PTPN7	2.45248332386913e-22	1.4
ENSGALG00000005772	BOK	2.92042059940338e-22	0.8
ENSGALG00000005540	MICAL2	2.94974517703743e-22	-1.6
ENSGALG00000002558	ASL1	4.02424075473099e-22	2.6
ENSGALG00000052196		4.10133242985404e-22	2.1
ENSGALG00000011288	DACT2	4.47243432822671e-22	1
ENSGALG00000040351		5.96032393757962e-22	0.9
ENSGALG00000015216	SYK	6.049886354833e-22	0.8
ENSGALG00000034251	SLC9A1	7.27223128171278e-22	-1.1
ENSGALG00000036920	SLC22A5	8.71874624397251e-22	2.7
ENSGALG00000002450	WDR24	9.76002236744325e-22	0.8
ENSGALG00000004769	PSAP	1.34868319382888e-21	0.6
ENSGALG00000044788		1.87422167490999e-21	-0.9
ENSGALG00000001118	NEK6	1.87578347171127e-21	-0.9
ENSGALG00000046915		1.99190123065705e-21	-1.2
ENSGALG00000008756	PLEK	2.08654036389732e-21	-1.5
ENSGALG00000029569		2.27544490239774e-21	1
ENSGALG00000011392	MSH4	2.50572735023681e-21	-0.9
ENSGALG00000053954		2.60681141624517e-21	1.6
ENSGALG00000039861	PLXNB2	4.46202360736862e-21	-2.1
ENSGALG00000009438	SLC39A9	5.85391085352642e-21	0.6
ENSGALG00000034829	PDXDC1	6.92016937059483e-21	0.7
ENSGALG00000006526	PLXNB3	7.06676770336725e-21	-1.6
ENSGALG00000044480	IL13RA1	7.16029950782274e-21	-1
ENSGALG00000012365	PYGL	8.79839137384868e-21	0.8
ENSGALG00000037065	SC5D	8.79839137384868e-21	1
ENSGALG00000011958	TEF	9.27847315038874e-21	-1
ENSGALG00000004693	ARPC1A	1.09153472424429e-20	0.6
ENSGALG00000001617	CAMKK1	1.11527889679099e-20	-1.2
ENSGALG00000045199		1.15620475223544e-20	1.7
ENSGALG00000042773	VOPP1	1.37448592880515e-20	1.1
ENSGALG00000004562	HVCN1	1.54234452418415e-20	-0.6
ENSGALG00000000122	GNB2L1	1.60561843551779e-20	-0.6
ENSGALG00000043052	CD1B	2.24748487100179e-20	-1
ENSGALG00000035911	CBX4	2.2632372287703e-20	-0.8
ENSGALG00000011132	RBMS1	2.58194373471413e-20	-0.9
ENSGALG00000043240	ARPP21	2.90352246549011e-20	1.5
ENSGALG00000006292		3.1189505926369e-20	-0.6
ENSGALG00000046719		3.21843129632503e-20	-2.7
ENSGALG00000011164		4.21664751713255e-20	1.4
ENSGALG00000047947		5.4642985359622e-20	-0.7
ENSGALG00000031763	EDARADD	6.00222971856779e-20	-0.8
ENSGALG00000009519	ARG2	6.00658906234949e-20	1.3
ENSGALG00000005481	ARHGEF3	6.68111768916679e-20	1.1
ENSGALG00000007203	RAB3IL1	1.0566449902618e-19	-0.8
ENSGALG00000014903	ITGA2	1.26563453039746e-19	1.7
ENSGALG00000045758	SEC14L5	1.29961810451391e-19	2.4
ENSGALG00000034501	ATP8B2	1.39962966135728e-19	0.8
ENSGALG00000037521	PRCP	1.77825345592382e-19	0.6
ENSGALG00000049517		1.80376654276292e-19	-0.8
ENSGALG00000015546	TBC1D14	2.00391666081519e-19	-0.6
ENSGALG00000001161	FLI1	2.57523713265449e-19	0.5
ENSGALG00000030580	RPS6KA5	2.65240098524943e-19	-0.7
ENSGALG00000050760		2.69286379699847e-19	1.5
ENSGALG00000005064	PRPSAP2	2.74190708409831e-19	0.6
ENSGALG00000006785	IRF1	2.76589028837752e-19	1.1
ENSGALG00000036552	PDAP1	2.87828418129629e-19	0.5
ENSGALG00000012978	CDYL2	3.28150237020699e-19	1.2
ENSGALG00000037026		3.46480055220381e-19	1.1
ENSGALG00000040465	ZEB2	3.47536683612778e-19	-2.5
ENSGALG00000007300	PYCR1	3.54741414850781e-19	-0.6
ENSGALG00000003430	PMS2	4.64454459559597e-19	0.7
ENSGALG00000037791	FRMD4B	4.64454459559597e-19	2.4
ENSGALG00000014998	CABLES1	4.95599478108164e-19	1.5
ENSGALG00000034109	GRIA3	4.95599478108164e-19	1.3
ENSGALG00000003457	CNP	5.73803610160755e-19	1.6
ENSGALG00000034279		6.09441830513833e-19	2.5
ENSGALG00000006856	CD151	7.54870221683997e-19	-0.7
ENSGALG00000054336	CDC25B	7.80665874021661e-19	0.7
ENSGALG00000024122	TNFRSF13B	8.45912671959576e-19	1
ENSGALG00000039299	LASP1	8.61789467581911e-19	0.6
ENSGALG00000003217	LITAF	8.72344881540342e-19	1
ENSGALG00000006809	POU2AF1	1.01544347014239e-18	0.7
ENSGALG00000013742	EZR	1.02381503251975e-18	-0.6
ENSGALG00000034737		1.07329561864707e-18	1.3
ENSGALG00000036128	ZNF407	1.09015180161294e-18	0.7
ENSGALG00000001564	ATP2A3	1.19293709014703e-18	-0.7
ENSGALG00000034216	TK2	1.51147476392494e-18	-0.7
ENSGALG00000051660		1.58002433166359e-18	-1.7
ENSGALG00000005365	NARFL	1.59071848956631e-18	0.9
ENSGALG00000006117	UBFD1	1.69343636206998e-18	0.6
ENSGALG00000004550	PPTC7	1.82460636773741e-18	-0.6
ENSGALG00000034747	NAPA	2.0957889774043e-18	-0.8
ENSGALG00000012827	RIPK1	2.30196680971491e-18	0.6
ENSGALG00000037492	MGRN1	2.43169262992336e-18	0.7
ENSGALG00000006583	LSP1P1	2.46745282271974e-18	0.7
ENSGALG00000003798	GET4	2.51685995753141e-18	0.6
ENSGALG00000015177	GNAQ	2.79795330276657e-18	-1.7
ENSGALG00000004386	SOX9	3.00633412868573e-18	1
ENSGALG00000000209	PRNP	3.07006995025324e-18	0.8
ENSGALG00000009704	CHST15	4.5694972784751e-18	1.3
ENSGALG00000027712	SLAMF8	5.09530736063259e-18	0.8
ENSGALG00000011885	ANXA5	5.98002718218087e-18	0.8
ENSGALG00000015666	TNIP2	7.25020805284052e-18	1
ENSGALG00000046787	NAGPA	7.44220733674258e-18	1
ENSGALG00000009836	ELMOD2	8.21687394483924e-18	-1.1
ENSGALG00000029820	NMRAL1	8.76601173746594e-18	0.7
ENSGALG00000026070		9.18008839413021e-18	1.1
ENSGALG00000034631		9.18008839413021e-18	-1.2
ENSGALG00000044505		9.39733051432257e-18	1.5
ENSGALG00000036730	MRPS35	9.5168864652222e-18	-0.8
ENSGALG00000041795	WWP1	9.57459922101013e-18	-0.8
ENSGALG00000029817	USP22	9.95241747734131e-18	0.6
ENSGALG00000040256	RIMS2	1.00952300551045e-17	-1.1
ENSGALG00000032702	ITGA3	1.1959596789981e-17	0.7
ENSGALG00000015166	GCNT1	1.25571053325293e-17	-2.3
ENSGALG00000049995		1.42223888930398e-17	-1.3
ENSGALG00000004104	INTS1	1.59191977603409e-17	0.8
ENSGALG00000009229	ATP6V0C	1.72442397175615e-17	0.7
ENSGALG00000004112	FUCA1	1.7542838727476e-17	1.6
ENSGALG00000038338	GLYR1	1.76727066767543e-17	0.7
ENSGALG00000040120		1.78735705020639e-17	1.6
ENSGALG00000005321	LAMA5	1.94755899676539e-17	-1.3
ENSGALG00000002316	NUBP2	2.1149351956246e-17	1
ENSGALG00000013002	DAP	2.23020718041328e-17	-0.6
ENSGALG00000038313	EFHD2	2.23020718041328e-17	1.5
ENSGALG00000034358		2.31799319912132e-17	0.9
ENSGALG00000035099	LRRN1	2.83351486372021e-17	1
ENSGALG00000007149	CYTH3	2.93264013427333e-17	0.7
ENSGALG00000039924		2.97747935759882e-17	2.5
ENSGALG00000041977	RNF128	3.04745460723232e-17	-1.8
ENSGALG00000002424	RECQL5	3.65791750399719e-17	0.7
ENSGALG00000030845	ENHO	4.27126784965864e-17	-2.3
ENSGALG00000032570	LANCL2	4.5121840727095e-17	0.6
ENSGALG00000038994	KPTN	4.535145182677e-17	-1.3
ENSGALG00000009346	HN1L	4.55578142050723e-17	0.6
ENSGALG00000033338	GPT2	4.58220715713821e-17	-1.5
ENSGALG00000048023		4.86081602908223e-17	1.8
ENSGALG00000013583	FAM114A1	5.53820357824022e-17	1.2
ENSGALG00000001603	NARF	5.55057655903235e-17	-0.8
ENSGALG00000004875	PEMT	6.24768598808891e-17	0.7
ENSGALG00000032854		6.4157347163068e-17	1
ENSGALG00000009947	PLEKHH2	6.97967167282611e-17	-2.5
ENSGALG00000040426	CREG1	6.97967167282611e-17	-0.6
ENSGALG00000016590	TLR7	7.41576482295489e-17	0.8
ENSGALG00000013625		7.43725219029785e-17	1.5
ENSGALG00000036471	RFTN2	7.92697739036678e-17	-2.4
ENSGALG00000051428		8.13424022497123e-17	-1
ENSGALG00000016486	HS1BP3	8.43645568986891e-17	-2
ENSGALG00000010174	SLC35B2	1.11535244349841e-16	-1
ENSGALG00000004189	MAFK	1.14589493992534e-16	0.7
ENSGALG00000037423	PTPRK	1.14589493992534e-16	-1.8
ENSGALG00000041403	DENND4A	1.18908376291131e-16	-0.7
ENSGALG00000026838	MDFIC	1.34576243870521e-16	-0.9
ENSGALG00000007044	METTL9	1.3598226163142e-16	0.7
ENSGALG00000010610	SNX25	1.44994188581576e-16	0.7
ENSGALG00000016937	DIAPH3	1.50016170429481e-16	-1
ENSGALG00000002242	GALNT9	1.53336955830311e-16	1.1
ENSGALG00000012087	CEP70	2.21419591977127e-16	-1
ENSGALG00000030111		2.44242991713472e-16	1.6
ENSGALG00000054458	AKT2	2.62238497145048e-16	-0.8
ENSGALG00000016617	NCOA1	2.63418057665899e-16	-0.8
ENSGALG00000009653	CASD1	2.97018672094454e-16	-0.8
ENSGALG00000054978		3.17687899968527e-16	1
ENSGALG00000003238	GNA11	3.34895709187585e-16	-1
ENSGALG00000007882		3.41616467290263e-16	0.6
ENSGALG00000005900	E4F1	3.66076357333478e-16	0.9
ENSGALG00000014391	CCDC149	3.89749543936793e-16	-1.5
ENSGALG00000045168		4.15070070194971e-16	0.6
ENSGALG00000004816		4.27653094053692e-16	0.7
ENSGALG00000014011	LRMP	4.45292858046668e-16	-1.2
ENSGALG00000043573	CHMP4C	4.61432371571758e-16	1.9
ENSGALG00000007821	DNAJA3	5.02925213511533e-16	0.6
ENSGALG00000006318	IL21R	5.03533323722168e-16	2
ENSGALG00000015233	ATP1B1	6.06752397037593e-16	0.7
ENSGALG00000021273	TMPRSS13	6.61374239864832e-16	1.9
ENSGALG00000035701	SMAD3	6.86736820473566e-16	-1.4
ENSGALG00000007125	PARD3	6.88234655453139e-16	-1.4
ENSGALG00000039208	PHF2	6.90025576291227e-16	0.7
ENSGALG00000005558	TBL3	7.01502863609605e-16	0.5
ENSGALG00000003652	ATAD1	7.04540746230656e-16	0.6
ENSGALG00000043728		8.30858747493683e-16	1.9
ENSGALG00000044230	ARHGAP27	8.52507254664754e-16	1
ENSGALG00000014984	F2RL1	9.0949102405076e-16	0.7
ENSGALG00000007668	BMP7	9.54060923194971e-16	-0.8
ENSGALG00000040573	FMO3	9.58347601551103e-16	-2.3
ENSGALG00000047852		9.65867668011052e-16	1.5
ENSGALG00000017196	ARHGAP42	1.07083394031599e-15	-2
ENSGALG00000017291	FAR2	1.1976622076436e-15	1.4
ENSGALG00000032530	SASH3	1.42894732713516e-15	0.7
ENSGALG00000032590	NDE1	1.43031755807677e-15	0.5
ENSGALG00000006522	HCK	1.69585627795372e-15	1.5
ENSGALG00000003396	NFATC3	1.91121019944711e-15	-0.5
ENSGALG00000007766	KIAA1217	2.04540903264203e-15	1.6
ENSGALG00000005028	TOP3A	2.06273035715133e-15	0.9
ENSGALG00000036496	ACTN4	2.14111341052347e-15	-0.7
ENSGALG00000002488	PAIP2B	2.15423149495375e-15	-0.6
ENSGALG00000017025	CKAP2	2.19584230120208e-15	-0.5
